2010-01-17T20:12:45+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.captcha.operation.html
2010-01-17T20:12:45+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mail.multiple-emails.html
2010-01-17T20:12:45+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.ldap.api.html
2010-01-17T20:12:49+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.auth.adapter.http.html
2010-01-17T20:12:49+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.feed.custom-feed.html
2010-01-17T20:12:49+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mail.html
2010-01-17T20:12:49+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.application.examples.html
2010-01-17T20:12:52+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.form.html
2010-01-17T20:12:52+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.infocard.html
2010-01-17T20:12:52+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.console.getopt.fetching.html
2010-01-17T20:12:52+00:00 INFO (6):     Indexing: /manual/1.9/ja/zendx.console.process.unix.html
2010-01-17T20:12:53+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.queue.example.html
2010-01-17T20:12:53+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.twitter.html
2010-01-17T20:12:54+00:00 INFO (6):     Indexing: /manual/1.9/ja/index.html
2010-01-17T20:13:00+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.paginator.html
2010-01-17T20:13:00+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.pdf.html
2010-01-17T20:13:00+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.form.elements.html
2010-01-17T20:13:04+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.measure.creation.html
2010-01-17T20:13:05+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.filter.set.html
2010-01-17T20:13:05+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.currency.migration.html
2010-01-17T20:13:05+00:00 INFO (6):     Indexing: /manual/1.9/ja/zendx.jquery.view.html
2010-01-17T20:13:07+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.tool.project.providers.html
2010-01-17T20:13:07+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.http.client.adapters.html
2010-01-17T20:13:07+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.test.phpunit.html
2010-01-17T20:13:08+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.controller.exceptions.html
2010-01-17T20:13:08+00:00 INFO (6):     Indexing: /manual/1.9/ja/doc-standard.recommendations.html
2010-01-17T20:13:09+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.application.html
2010-01-17T20:13:11+00:00 INFO (6):     Indexing: /manual/1.9/ja/coding-standard.php-file-formatting.html
2010-01-17T20:13:11+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.ec2.instance.html
